X,Y,id,id_hidra,tipo_hidra,diametro_b,cota_impla,levantamen,foto_inter,foto_exter,origem_dad,proprietar,observacoe
-8.27443966802477,40.7359752951859,"56","56","2","6","362.86","1",FOTOS\WIN_20180808_16_28_44_Pro.jpg,FOTOS\WIN_20180808_16_28_50_Pro.jpg,"1","1",
-8.27310302872742,40.7376856129556,"57","57","2","6","343.27","1",,,"1","1",
-8.27306677429475,40.7377067005164,"58","58","2","6","343.23","1",,FOTOS\WIN_20180808_16_36_36_Pro.jpg,"1","1",
-8.27417000375446,40.7404778383662,"59","59","2","6","331.55","1",FOTOS\WIN_20180808_16_20_02_Pro.jpg,FOTOS\WIN_20180808_16_20_13_Pro.jpg,"1","1",
-8.28079774257614,40.7387791051481,"60","60","2","6","346.26","1",,FOTOS\WIN_20180808_16_10_22_Pro.jpg,"1","1",
-8.28051732526343,40.7516934236746,"61","61","2","6","138.39","1",,FOTOS\WIN_20180810_17_00_15_Pro.jpg,"1","1",
-8.28135702087894,40.7528740498409,"62","62","2","6","127.28","1",,FOTOS\WIN_20180810_17_03_34_Pro.jpg,"1","1",
-8.2819138848037,40.7516015723439,"63","63","2","6","147.83","1",,FOTOS\WIN_20180810_17_08_08_Pro.jpg,"1","1",
-8.27993731286106,40.7495770283014,"64","64","2","6","179.71","1",,FOTOS\WIN_20180810_17_11_11_Pro.jpg,"1","1",
-8.26557663135279,40.7549197477372,"65","65","2","6","166.07","1",,FOTOS\WIN_20180810_16_24_25_Pro.jpg,"1","1",
-8.26516704371794,40.7540335561455,"66","66","2","6","181.5","1",,FOTOS\WIN_20180810_16_17_37_Pro.jpg,"1","1",
-8.26517407663988,40.7546374515571,"67","67","2","6","176.7","1",,FOTOS\WIN_20180810_16_21_07_Pro.jpg,"1","1",
-8.26634384818442,40.7554978781069,"68","68","2","6","153.86","1",,FOTOS\WIN_20180810_16_25_57_Pro.jpg,"1","1",
-8.26329771364911,40.7559657610292,"69","69","2","6","180.26","1",,FOTOS\WIN_20180810_16_44_04_Pro.jpg,"1","1",
-8.25512254026924,40.6979627163802,"70","70","2","6","447.21","1",,FOTOS\OF-UFRD WIN_20160823_19_16_55_Pro,"1","1",
-8.26116519389342,40.6921249652335,"71","71","2","6","439.01","1",,FOTOS\OF-UFRD WIN_20160823_18_46_15_Pro,"1","1",
-8.25747944222414,40.6956669407871,"72","72","2","6","446.35","1",,FOTOS\OF-UFRD WIN_20160823_19_16_55_Pro,"1","1",
-8.25980291944433,40.693541532449,"73","73","2","6","436.66","1",,FOTOS\OF-UFRD WIN_20160823_19_23_07_Pro,"1","1",
-8.25839593720095,40.6951416922799,"74","74","2","6","445.43","1",,FOTOS\OF-UFRD WIN_20160823_19_21_33_Pro,"1","1",
-8.27354236266501,40.6781917138043,"75","75","2","6","387.47","1",,FOTOS\OF-UFRD WIN_20160823_17_47_15_Pro,"1","1",
-8.27309447338893,40.6781467637565,"76","76","2","6","387.71","1",,FOTOS\OF-UFRD WIN_20160823_17_45_01_Pro,"1","1",
-8.27177774944263,40.6772499824512,"77","77","2","6","382.39","1",,FOTOS\OF-UFRD WIN_20160823_17_53_04_Pro,"1","1",
-8.27396912528679,40.6778199031847,"78","78","2","6","389.21","1",,FOTOS\OF-UFRD WIN_20160823_17_49_05_Pro,"1","1",
-8.27290921055473,40.676953584118,"79","79","2","6","389.02","1",,FOTOS\OF-UFRD WIN_20160823_17_51_06_Pro,"1","1",
-8.27597688388702,40.6784981474464,"80","80","2","6","400.44","1",,FOTOS\OF-UFRD WIN_20160823_17_28_57_Pro,"1","1",
-8.27427498388977,40.6781020402292,"81","81","2","6","390.93","1",,FOTOS\OF-UFRD WIN_20160823_17_30_59_Pro,"1","1",
-8.27119808444147,40.6795221241156,"82","82","2","6","399.74","1",,FOTOS\OF-UFRD WIN_20160823_18_04_16_Pro,"1","1",
-8.26864463056134,40.6817608930096,"83","83","2","6","414.3","1",,FOTOS\OF-UFRD WIN_20160823_18_22_45_Pro,"1","1",
-8.26864148854673,40.6810411848308,"84","84","2","6","413.69","1",,FOTOS\OF-UFRD WIN_20160823_18_20_32_Pro,"1","1",
